Date,Close,High,Low,Open,Volume
10/11/2020,113.4018555,114.9859759,111.6025982,112.9911581,138023400
11/11/2020,116.8438873,116.9807864,113.8614342,114.5948254,112295000
12/11/2020,116.5700836,117.8608518,115.9442571,116.9710077,103162300
13/11/2020,116.6190033,117.01992,115.2597853,116.7950175,81581900
16/11/2020,117.6359634,118.3106783,115.5335736,116.2865187,91183000
17/11/2020,116.746109,117.9977622,116.3256311,116.9025694,74271000
18/11/2020,115.4162216,117.1665829,115.3868872,115.9833793,76322100
19/11/2020,116.0127182,116.4234155,114.2232417,114.9859675,74113000
20/11/2020,114.7415085,116.1398415,114.6926202,116.012723,73604300
23/11/2020,111.3287811,115.0152984,111.2309971,114.5850398,127959300
24/11/2020,112.619545,113.2844866,110.0966776,111.3874532,113874200
25/11/2020,113.4605179,114.1645747,112.619562,112.9911516,76499200
27/11/2020,114.0081329,114.8882041,113.6463313,113.9885791,46691300
30/11/2020,116.4136505,118.2911305,114.2232498,114.3797102,169410200
01/12/2020,120.0023575,120.7357487,117.3523715,118.3302265,127728200
02/12/2020,120.3544006,120.6379795,118.2128957,119.3178692,89004200
03/12/2020,120.2174988,121.0388934,119.5036613,120.784649,78967600
04/12/2020,119.5427704,120.1392625,118.828933,119.8850181,78260400
07/12/2020,121.0095596,121.8114005,119.5427771,119.601446,86712000
08/12/2020,121.6256027,122.2123217,120.3641689,121.6158295,82225500
09/12/2020,119.0831909,123.1608448,118.3204651,121.7722924,115089200
10/12/2020,120.5108643,121.1269178,117.4892955,117.8315433,81312200
11/12/2020,119.699234,120.0414818,117.8804231,119.7187878,86939800
14/12/2020,119.0831909,120.6184231,118.8485078,119.8850318,79184500
15/12/2020,125.0480957,125.067657,121.3811394,121.5864881,157243700
16/12/2020,124.9796524,125.5272488,123.7573336,124.5885164,98208600
17/12/2020,125.8499451,126.7104623,125.2045571,126.0455131,94359800
18/12/2020,123.8550949,126.2410631,123.3270524,126.104164,192541500
21/12/2020,125.3903351,125.4685653,120.7161897,122.2514216,121251600
22/12/2020,128.9595184,131.4334903,126.7788911,128.6954934,168904800
23/12/2020,128.059906,129.4973392,127.8838843,129.2333291,88223700
24/12/2020,129.0475159,130.5045251,128.1967869,128.4119161,54930100
28/12/2020,133.6630096,134.2986095,130.5534228,131.022804,124486200
29/12/2020,131.8832855,135.7164749,131.3650236,134.9928719,121047300
30/12/2020,130.7587738,132.9785089,130.445853,132.5775847,96452100
31/12/2020,129.7515564,131.7561617,128.803036,131.110774,99116600
04/01/2021,126.5442276,130.6512159,123.9529102,130.5632125,143301900
05/01/2021,128.1087646,128.8226095,125.5858972,126.035717,97664900
06/01/2021,123.7964401,128.1478993,123.5813108,124.8916404,155088000
07/01/2021,128.0207825,128.7150661,125.0285484,125.5174759,109578200
08/01/2021,129.1257477,129.6929053,127.3460445,129.4973224,105158200
11/01/2021,126.1237183,127.287368,125.6543521,126.3290744,100384500
12/01/2021,125.9477005,126.8179907,124.0506598,125.6543411,91951100
13/01/2021,127.9914322,128.5390286,125.6445863,125.9085964,88636800
14/01/2021,126.0552826,128.0989958,125.9085954,127.9034278,90221800
15/01/2021,124.3244858,127.336281,124.1875867,125.9281674,111598500
19/01/2021,124.9991989,125.859716,124.1289086,124.9503032,90757300
20/01/2021,129.1062164,129.5560364,125.7032846,125.8108493,104319500
21/01/2021,133.8390045,136.5770014,130.6316414,130.8369975,120150900
22/01/2021,135.9902954,136.7530211,132.0299799,133.2620717,114459400
25/01/2021,139.7550201,141.8769635,133.5163011,139.9017073,157611700
26/01/2021,139.9897308,141.104485,138.239362,140.4199894,98390600
27/01/2021,138.9140625,141.1044628,137.3006079,140.2537189,140843800
28/01/2021,134.0541534,138.8456524,133.6727905,136.4303491,142621100
29/01/2021,129.0377502,133.7118959,127.326504,132.8220443,177523800
01/02/2021,131.1694641,132.3820096,128.0305431,130.7881013,106239800
02/02/2021,132.0006561,133.291417,131.6290664,132.7242593,83305400
03/02/2021,130.9739075,132.763384,130.6512135,132.7535959,89880900
04/02/2021,134.3474884,134.3572616,131.6094916,133.2816301,84183100
05/02/2021,133.9312897,134.577642,133.049911,134.5090976,75693800
08/02/2021,134.078186,134.1271548,132.1293414,133.216383,71297200
09/02/2021,133.1967926,135.0281241,133.0401134,133.7941761,76774200
10/02/2021,132.5896301,134.1565421,131.6201016,133.6570813,73046600
11/02/2021,132.3350067,133.5689398,131.003136,133.0890695,64280000
12/02/2021,132.5700378,132.726732,130.9247937,131.571146,60145100
16/02/2021,130.4351196,133.1967834,130.0433842,132.6875497,80576300
17/02/2021,128.133728,129.4851892,126.7920696,128.5352513,97918500
18/02/2021,127.0271225,127.3111176,124.774692,126.5276616,96856700
19/02/2021,127.1837921,128.0064291,126.1359315,127.5461493,87668800
22/02/2021,123.3938599,127.0369179,123.0021318,125.3622803,103916400
23/02/2021,123.2567368,124.089154,115.9412436,121.2001742,158273000
24/02/2021,122.7572861,122.9629416,119.7018243,122.3557703,111039900
25/02/2021,118.4874802,123.8443417,118.0467908,122.1011598,148199500
26/02/2021,118.7518845,122.267626,118.6931204,120.0543693,164560400
